データベースにおいて、あるデータを処理している時、他からの更新や書き込みなどを制限することによって、データの整合性を保つしくみ。,ロック,排他制御,共有ロック,デッドロック,排他制御
同じデータに、複数のアクセスをする場合の整合性を取るための工夫。,共有ロック,排他制御,ロック,専有ロック,ロック
データベースにおいて、ファイルを保持するために、ファイルを読み込むことは可能だが、レコードのデータの変更はできないこと。,専有ロック,共有ロック,デッドロック,排他制御,共有ロック
一つのレコードに対して一つの参照・変更・削除だけが取得できる。データを更新している途中で、他がデータを読み込んだり、変更できないようになる。,ロック,デッドロック,専有ロック,共有ロック,専有ロック
排他制御を行った複数の処理が互いにロックをかけることで、相手のロック解除待ち状態が発生してしまい先に進まなくなる状態。,ロック,共有ロック,デッドロック,排他制御,デッドロック
データベースにおいて、一連の更新処理のこと。,コミット,ロールバック,コミット,トランザクション,トランザクション
データベースにおいて、更新処理などがすべて正常に完結したという宣言。,ジャーナルファイル,コミット,ロールバック,トランザクション,コミット
データベースの更新前と更新後のデータの状態を記録したファイル。,チェックポイント,ロールフォワード,ジャーナルファイル,トランザクション,ジャーナルファイル
メモリ上のデータをディスクに書き込むタイミングのこと。障害発生の際、復旧作業に利用されることもある。,ロールバック,ロールフォワード,チェックポイント,チェックポイント,チェックポイント
データベースにおける更新処理の途中などで何らかの理由で不都合があった場合、データの整合性を保つために、ジャーナルファイルを用いてトランザクション処理開始時点の状態に戻すこと。,ロールフォワード,ロールバック,チェックポイント,コミット,ロールバック
データが保存されているハードディスクに障害が発生した場合、バックアップファイルとジャーナルファイルを用いて、ハードディスクの障害発生直前の状態に復元すること。,ロールフォワード,コミット,トランザクション,ロールバック,ロールフォワード
