インターネットでデータを送受信する際に、第三者に内容が知られないようにデータを変換する場合、同一の鍵を用いて暗号化と復号を行う方法。,共通鍵暗号方式,公開鍵暗号方式,電子署名,SSL,共通鍵暗号方式
インターネットデータを送受信する際に、第三者に内容が知られないようにデータを変換する場合、異なる鍵を用いて暗号化と復号を行う方法。,共通鍵暗号方式,公開鍵暗号方式,インシデント,SQLインジェクション,公開鍵暗号方式
公開鍵暗号方式を応用して、文書の作成者が本人であることと、その文書が改ざんされていないことを確認する技術。電子商取引でよく利用される。,認証局,SSL,HTTPS,電子署名,電子署名
電子商取引で利用される暗号化通信などで必要となる、ディジタル証明書を発行する機関。,ログ・ファイル,HTTPS,認証局,クロスサイトスクリプティング,認証局
オンラインショッピングなど、インターネット上で個人情報などのデータを暗号化して、安全にやり取りするために広く普及している技術。ブラウザのURLを示す部分は「https://」で始まる。,SSL,HTTPS,認証局,電子署名,SSL
HTTPに、SSLによるデータ暗号化機能を付加した通信規約,HTTPS,SSL,インシデント,電子署名,HTTPS
コンピュータの利用状況やデータ通信の状況を記録したファイル。,システムログ,アクセスログ,ログファイル,リスクマネジメント,ログファイル
OSやアプリケーションソフトなど、コンピュータシステムの動作状態を記録したもの。なんらかのトラブルの情報も記録される。,システムログ,アクセスログ,ログファイル,リスクマネジメント,システムログ
Webサーバにアクセスした人物が、いつ、どのコンピュータからどのサイトを閲覧したかなどを記録したもの。,システムログ,アクセスログ,ログファイル,リスクマネジメント,アクセスログ
コンピュータシステムやネットワークの運用時に、セキュリティ上の問題として発生した事故や事例のこと。,リスクアセスメント,インシデント,リスクマネジメント,ソーシャルエンジニアリング,インシデント
リスクが発生する前に、そのリスクを組織的に管理し、リスクの発生により損失を回避、または不利益を最小限に抑えるためのプロセス。,リスクアセスメント,インシデント,リスクマネジメント,ソーシャルエンジニアリング,リスクマネジメント
リスクマネジメントに対する一連の取組として、リスク特定、リスク分析、リスク評価、リスク対応を行う。,リスクアセスメント,インシデント,リスクマネジメント,ソーシャルエンジニアリング,リスクアセスメント
SNSや掲示板などユーザが入力した内容を表示するWebページの脆弱性を利用した罠を仕掛け、偽サイトに誘導してさまざまな被害を引き起こす攻撃のこと。,ソーシャルエンジニアリング,リスクアセスメント,クロスサイトスクリプティング,SQLインジェクション,クロスサイトスクリプティング
心理的な隙や行動のミスにつけ込むなど、情報通信技術を使用せず、情報資産を不正に収集する手口の総称。のぞき見やなりすましなどがある。,ソーシャルエンジニアリング,リスクアセスメント,クロスサイトスクリプティング,SQLインジェクション,ソーシャルエンジニアリング
データベースと連携したWebアプリケーションの脆弱性を利用して不当なSQL文を実行させることにより、データベースの不正な閲覧や改ざんをする攻撃のこと。,ソーシャルエンジニアリング,リスクアセスメント,クロスサイトスクリプティング,SQLインジェクション,SQLインジェクション,
